[2026-08-30T11:20:00+00:00] RUN paper-full-20260830 | minimal-diff-notebook | FULL_PAPER_RUN | artifacts=D:\Rayan Paper materials\artifacts_runs\minimal-diff-notebook\FULL_PAPER_RUN\paper-full-20260830 | cuda=0MiB allocated/0MiB reserved
[2026-08-30T11:20:58+00:00] epoch 33/40 loss=0.601338 elapsed=16.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:59+00:00] epoch 34/40 loss=0.621224 elapsed=16.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:59+00:00] epoch 35/40 loss=0.637820 elapsed=17.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:00+00:00] epoch 36/40 loss=0.651608 elapsed=17.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:00+00:00] epoch 37/40 loss=0.674110 elapsed=18.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:01+00:00] epoch 38/40 loss=0.688859 elapsed=18.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:01+00:00] epoch 39/40 loss=0.701346 elapsed=19.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:02+00:00] epoch 40/40 loss=0.715741 elapsed=19.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:02+00:00] DONE LODO0 | DG-Hetero-GNN | seed=3407 | F1=0.184478 | cuda=17MiB allocated/4822MiB reserved
[2026-08-30T11:21:02+00:00] START LODO0 | DG-Hetero-GNN | seed=2025 | cuda=17MiB allocated/68MiB reserved
[2026-08-30T11:21:03+00:00] epoch 1/40 loss=0.411306 elapsed=0.5s | cuda=583MiB allocated/4682MiB reserved
[2026-08-30T11:21:04+00:00] epoch 2/40 loss=0.398646 elapsed=1.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:04+00:00] epoch 3/40 loss=0.383615 elapsed=1.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:05+00:00] epoch 4/40 loss=0.365977 elapsed=2.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:05+00:00] epoch 5/40 loss=0.347040 elapsed=2.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:06+00:00] epoch 6/40 loss=0.327566 elapsed=3.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:06+00:00] epoch 7/40 loss=0.306198 elapsed=3.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:07+00:00] epoch 8/40 loss=0.286384 elapsed=4.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:07+00:00] epoch 9/40 loss=0.267316 elapsed=4.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:08+00:00] epoch 10/40 loss=0.251272 elapsed=5.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:08+00:00] epoch 11/40 loss=0.238269 elapsed=5.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:09+00:00] epoch 12/40 loss=0.229015 elapsed=6.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:09+00:00] epoch 13/40 loss=0.223083 elapsed=6.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:10+00:00] epoch 14/40 loss=0.222022 elapsed=7.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:10+00:00] epoch 15/40 loss=0.224696 elapsed=7.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:11+00:00] epoch 16/40 loss=0.229858 elapsed=7.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:11+00:00] epoch 17/40 loss=0.237894 elapsed=8.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:12+00:00] epoch 18/40 loss=0.248101 elapsed=8.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:12+00:00] epoch 19/40 loss=0.259256 elapsed=9.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:13+00:00] epoch 20/40 loss=0.271017 elapsed=9.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:13+00:00] epoch 21/40 loss=0.284720 elapsed=10.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:14+00:00] epoch 22/40 loss=0.299654 elapsed=10.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:14+00:00] epoch 23/40 loss=0.314781 elapsed=11.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:15+00:00] epoch 24/40 loss=0.329606 elapsed=11.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:15+00:00] epoch 25/40 loss=0.345255 elapsed=12.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:16+00:00] epoch 26/40 loss=0.361234 elapsed=12.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:16+00:00] epoch 27/40 loss=0.377039 elapsed=13.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:17+00:00] epoch 28/40 loss=0.394221 elapsed=13.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:17+00:00] epoch 29/40 loss=0.410885 elapsed=14.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:18+00:00] epoch 30/40 loss=0.429267 elapsed=14.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:18+00:00] epoch 31/40 loss=0.448300 elapsed=15.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:19+00:00] epoch 32/40 loss=0.465580 elapsed=15.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:19+00:00] epoch 33/40 loss=0.483079 elapsed=16.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:20+00:00] epoch 34/40 loss=0.503012 elapsed=16.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:20+00:00] epoch 35/40 loss=0.521751 elapsed=17.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:21+00:00] epoch 36/40 loss=0.540150 elapsed=17.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:21+00:00] epoch 37/40 loss=0.558405 elapsed=18.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:22+00:00] epoch 38/40 loss=0.576425 elapsed=18.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:22+00:00] epoch 39/40 loss=0.594416 elapsed=19.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:23+00:00] epoch 40/40 loss=0.612090 elapsed=19.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:23+00:00] DONE LODO0 | DG-Hetero-GNN | seed=2025 | F1=0.011485 | cuda=17MiB allocated/4822MiB reserved
[2026-08-30T11:21:23+00:00] START LODO0 | DG-Hetero-GNN | seed=9999 | cuda=17MiB allocated/68MiB reserved
[2026-08-30T11:21:24+00:00] epoch 1/40 loss=0.414667 elapsed=0.5s | cuda=583MiB allocated/4682MiB reserved
[2026-08-30T11:21:24+00:00] epoch 2/40 loss=0.386183 elapsed=1.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:25+00:00] epoch 3/40 loss=0.357263 elapsed=1.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:25+00:00] epoch 4/40 loss=0.330945 elapsed=2.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:26+00:00] epoch 5/40 loss=0.305236 elapsed=2.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:26+00:00] epoch 6/40 loss=0.282125 elapsed=3.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:27+00:00] epoch 7/40 loss=0.260648 elapsed=3.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:27+00:00] epoch 8/40 loss=0.243744 elapsed=4.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:28+00:00] epoch 9/40 loss=0.231199 elapsed=4.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:28+00:00] epoch 10/40 loss=0.222857 elapsed=5.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:29+00:00] epoch 11/40 loss=0.220847 elapsed=5.5s | cuda=583MiB allocated/4822MiB reserved
